model_name,layer_idx,mean_norm,std_norm,k_value,sample_count
qwen2.5-7b-instruct,0,13.348839926719666,0.32406824398198764,0.2229767210565784,80
qwen2.5-7b-instruct,1,19.717459797859192,0.9111929488805185,0.32935704955838424,80
qwen2.5-7b-instruct,2,25.641194128990172,1.2599223311123633,0.4283060866894674,80
qwen2.5-7b-instruct,3,178.71048846244813,63.012178166556254,2.9851491930781173,80
qwen2.5-7b-instruct,4,221.3857168197632,78.86399569522987,3.697988851182638,80
qwen2.5-7b-instruct,5,228.73639783859252,80.28520164302554,3.820773359807289,80
qwen2.5-7b-instruct,6,236.5635184288025,81.39622091815885,3.951516232903403,80
qwen2.5-7b-instruct,7,244.19768295288085,82.27635343315427,4.079036001132713,80
qwen2.5-7b-instruct,8,251.62977476119994,83.32344678885653,4.20318038155137,80
qwen2.5-7b-instruct,9,256.69233694076536,84.42112561775983,4.2877445475119655,80
qwen2.5-7b-instruct,10,260.9155202865601,85.18045184372002,4.358287874125775,80
qwen2.5-7b-instruct,11,267.1136971473694,86.9829568754686,4.461821151964072,80
qwen2.5-7b-instruct,12,271.43884735107423,87.72645744581226,4.5340677153953175,80
qwen2.5-7b-instruct,13,276.5451575279236,87.8648121963406,4.619362640361244,80
qwen2.5-7b-instruct,14,278.97412424087526,87.73582793919698,4.659935681627956,80
qwen2.5-7b-instruct,15,284.81399726867676,87.65328125978428,4.757483914004275,80
qwen2.5-7b-instruct,16,284.9958203315735,86.98820040825701,4.760521055104157,80
qwen2.5-7b-instruct,17,287.84498767852784,86.88062179644196,4.808113055326865,80
qwen2.5-7b-instruct,18,295.3521994590759,87.1683109085156,4.933512226812419,80
qwen2.5-7b-instruct,19,305.22947521209716,86.49982643752459,5.0985005383414155,80
qwen2.5-7b-instruct,20,320.5913076400757,85.93063922705258,5.355101939138421,80
qwen2.5-7b-instruct,21,343.2779558181763,84.70344840841791,5.734055799570259,80
qwen2.5-7b-instruct,22,370.53691120147704,84.36969030923841,6.189384691381279,80
qwen2.5-7b-instruct,23,409.8355487823486,83.61472687730235,6.845822359214405,80
qwen2.5-7b-instruct,24,456.81238784790037,82.03619018615402,7.630515381075621,80
qwen2.5-7b-instruct,25,504.71601181030275,78.42693415702736,8.43068925809421,80
qwen2.5-7b-instruct,26,449.42934646606443,24.822568003207667,7.507190330525603,80
qwen2.5-7b-instruct,27,405.45017967224123,19.864296671055673,6.772569909551175,80
